#,role_id,recency,frequency,monetary
1,20200000001641,29,3,394
2,20200000002952,3,3,850
3,20200000005807,59,1,6
4,20200000005842,1,5,30
5,20200000006007,8,1,260
6,20200000006712,12,3,66
7,20200000008056,0,1,6
8,20200000011759,0,1,510
9,20200000013352,0,2,12
10,20200000017320,11,3,522
11,20200000018493,4,3,37
12,20200000018668,4,2,266
13,20200000022034,6,4,686
14,20200000022281,8,1,6
15,20200000022898,13,5,30
16,20200000029487,16,3,17
17,20200000029757,8,1,260
18,20200000030620,8,1,260
19,20200000032559,0,6,1159
20,20200000034277,17,1,6
21,20200000035419,0,6,233
22,20200000045710,13,1,25
23,20200000047182,30,1,6
24,20200000047203,1,2,770
25,20200000048803,46,1,6
26,20200000060979,19,3,930
27,20200000063783,33,2,36
28,20200000064975,5,6,152
29,20200000068052,19,1,6
30,20200000074574,6,2,1190
31,20200000075593,15,4,1010
32,20200000084246,5,1,6
33,20200000089508,2,2,516
34,20200000132874,0,1,510
35,20200000132913,0,1,510
36,20200000135693,18,1,510
37,20200000144061,12,6,1138
38,20200000151161,33,1,6
39,20200000153292,2,7,42
40,20200000159701,18,2,770
41,20200000168629,8,1,510
42,20200000173652,12,3,16
43,20200000174801,3,1,6
44,20200000175841,58,1,6
45,20200000196868,0,1,510
46,20200000202185,36,1,510
47,20200000209540,6,1,510
48,20200000209574,10,1,510
49,20200000209582,10,1,510
50,20200000209612,12,1,510
51,20200000209613,2,2,770
52,20200000209620,12,1,510
53,20200000209635,12,1,510
54,20200000210619,18,1,510
55,20200000210628,18,1,510
56,20200000211063,14,1,510
57,20200000211077,14,1,510
58,20200000211570,16,1,510
59,20200000211579,16,1,510
60,20200000215213,0,14,3246
61,20200000215535,18,1,510
62,20200000215538,19,1,510
63,20200000215541,19,1,510
64,20200000217537,19,1,510
65,20200000218177,22,1,510
66,20200000218260,25,1,510
67,20200000219352,30,1,510
68,20200000219362,30,1,510
69,20200000219368,3,20,219
70,20200000219525,40,1,648
71,20200000219782,47,1,648
72,20200000219826,50,1,648
73,20200000220513,47,1,648
74,20200000221130,0,1,510
75,20200000223107,40,1,510
76,20200000223114,33,1,510
77,20200000223368,40,1,510
78,20200000236022,0,46,2396
79,20200000237546,15,1,12
80,20200000239506,51,1,6
81,20200000239527,0,9,1121
82,20200000239602,19,2,36
83,20200000240037,57,8,102
84,20200000240505,43,3,852
85,20200000241012,0,13,378
86,20200000241527,38,1,6
87,20200000243168,0,21,526
88,20200000243643,7,1,6
89,20200000244010,5,1,6
90,20300000000343,21,1,510
91,20300000001488,3,13,174
92,20300000003730,44,2,12
93,20300000008299,2,2,12
94,20300000017662,3,4,48
95,20300000028031,0,9,78
96,20300000031142,20,1,510
97,20300000036961,12,3,42
98,20300000037584,0,44,2296
99,20300000039837,1,2,36
100,20300000042407,21,7,42
101,20300000080558,2,2,770
102,20300000083584,30,1,510
103,20300000083599,50,1,648
104,20300000083636,53,1,648
105,20300000083670,44,1,648
106,20300000084035,52,1,648
107,20300000084564,7,1,510
108,20300000085068,44,1,648
109,20300000085528,2,2,770
110,20300000085531,12,1,510
111,20300000085606,30,1,510
112,20300000085617,16,1,510
113,20300000085622,10,1,510
114,20300000085638,13,1,510
115,20300000085641,7,1,510
116,20300000085652,47,1,648
117,20300000085661,40,1,648
118,20300000085669,10,1,510
119,20300000085733,2,2,770
120,20300000085735,2,2,770
121,20300000085746,2,2,770
122,20300000086012,50,1,648
123,20300000086513,16,1,510
124,20300000086529,19,1,510
125,20400000005404,12,1,260
126,20400000017422,48,1,6
127,20400000022999,13,1,260
128,20400000028689,10,1,6
129,20400000037489,11,5,1053
130,20400000059096,15,1,510
131,20400000059189,0,1,510
132,20500000001576,47,1,648
133,20500000004302,0,1,25
134,20500000007651,47,1,198
135,20500000013729,2,2,36
136,20500000019966,16,1,5
137,20500000023790,15,1,6
138,20500000024673,14,1,6
139,20500000024733,19,2,104
140,20500000025578,34,3,18
141,20500000029008,0,9,1632
142,20500000078152,51,1,648
143,20500000078179,48,1,648
144,20500000078185,48,1,648
145,20500000078209,48,1,648
146,20500000078251,54,1,648
147,20500000078329,19,1,510
148,20500000078337,17,1,510
149,20500000078340,25,1,510
150,20500000078344,17,1,510
151,20500000078357,38,1,510
152,20500000078368,19,1,510
153,20500000078372,19,1,510
154,20500000078389,16,1,510
155,20500000078433,47,1,648
156,20500000078442,14,1,510
157,20500000078444,38,1,510
158,20500000078450,17,1,510
159,20500000078467,19,1,510
160,20500000079539,19,1,510
161,20500000079550,19,1,510
162,20500000079582,18,1,510
163,20500000080004,19,1,510
164,20500000080010,19,1,510
165,20500000080014,19,1,510
166,20500000085012,37,1,260
167,20600000000794,8,8,48
168,20600000002607,11,1,6
169,20600000010407,13,10,733
170,20600000015294,14,3,426
171,20600000017116,24,1,6
172,20600000017875,7,7,66
173,20600000049866,0,119,3652
174,20700000000816,17,1,5
175,20700000005586,54,3,142
176,20700000013387,15,2,12
177,20700000020620,16,1,6
178,20700000023351,1,5,54
179,20700000054243,0,1,510
180,20800000002323,1,1,5
181,20800000004246,60,2,60
182,20800000008401,28,1,5
183,20800000013375,7,4,48
184,20800000041569,11,1,510
185,20800000041618,6,1,510
186,20900000004091,17,2,12
187,20900000008513,50,1,6
188,20900000009317,57,1,30
189,20900000011177,30,1,6
190,20900000019292,21,2,105
191,21000000006365,0,24,216
192,21000000009017,5,4,48
193,21100000006054,17,2,770
194,21100000008239,26,2,515
